location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-07-06T02:00:00+09:00,2025-07-05T17:43:10.668917+09:00,19.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T03:00:00+09:00,2025-07-05T17:43:10.670090+09:00,19.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T04:00:00+09:00,2025-07-05T17:43:10.671272+09:00,19.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T05:00:00+09:00,2025-07-05T17:43:10.673285+09:00,19.0,,,cloudy,くもり,0.0,98.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T06:00:00+09:00,2025-07-05T17:43:10.677028+09:00,20.0,,,cloudy,くもり,0.0,97.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T07:00:00+09:00,2025-07-05T17:43:10.685552+09:00,20.0,,,cloudy,くもり,0.0,95.0,7.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T08:00:00+09:00,2025-07-05T17:43:10.687089+09:00,22.0,,,cloudy,くもり,0.0,94.0,7.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T09:00:00+09:00,2025-07-05T17:43:10.688539+09:00,22.0,,,cloudy,くもり,0.0,93.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T10:00:00+09:00,2025-07-05T17:43:10.689951+09:00,23.0,,,cloudy,くもり,0.0,91.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T11:00:00+09:00,2025-07-05T17:43:10.691476+09:00,23.0,,,cloudy,くもり,0.0,90.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T12:00:00+09:00,2025-07-05T17:43:10.693137+09:00,23.0,,,cloudy,くもり,0.0,89.0,9.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T13:00:00+09:00,2025-07-05T17:43:10.694779+09:00,24.0,,,cloudy,くもり,0.0,87.0,10.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T14:00:00+09:00,2025-07-05T17:43:10.696596+09:00,24.0,,,cloudy,くもり,0.0,87.0,10.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T15:00:00+09:00,2025-07-05T17:43:10.698471+09:00,24.0,,,cloudy,くもり,0.0,88.0,9.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T16:00:00+09:00,2025-07-05T17:43:10.699701+09:00,23.0,,,cloudy,くもり,0.0,92.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T17:00:00+09:00,2025-07-05T17:43:10.700690+09:00,22.0,,,cloudy,くもり,0.0,93.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T18:00:00+09:00,2025-07-05T17:43:10.701883+09:00,21.0,,,cloudy,くもり,0.0,94.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
